#IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	sample	pop	super_pop	gender
HG01072	-0.00765414	0.0187174	0.0185941	0.00261251	-0.00715132	0.00952658	-0.00986496	0.0460104	0.00899822	-0.0198236	HG01072	PUR	AMR	male
HG01073	-0.00790437	0.0177913	0.0184798	0.0018844	-0.00488051	0.0148869	0.00160734	0.0524018	0.0122719	-0.0153116	HG01073	PUR	AMR	female
HG01075	-0.00650397	0.0220178	0.0136284	0.0124204	0.000569268	0.000533065	-0.00891812	0.0320099	0.00700914	0.00402824	HG01075	PUR	AMR	male
HG01077	-0.00277905	0.0137941	0.0138474	-0.0072765	-0.00700764	-0.0155741	-0.0264031	-0.0070601	-0.00574866	-0.00705921	HG01077	PUR	AMR	female
HG01079	-0.00395611	0.016087	0.0153907	0.00203861	0.00575864	0.00601985	0.000570118	0.0504809	0.0128164	0.0182892	HG01079	PUR	AMR	male
HG01080	-0.00763337	0.016077	0.0204054	-0.00450779	0.00254711	0.00829776	-0.00161162	0.054124	0.0108756	0.0144743	HG01080	PUR	AMR	female
HG01082	-0.00245333	0.0142012	0.0158761	-0.000725505	-0.00222179	0.0101189	0.00317862	0.0398166	0.00886639	-0.00331195	HG01082	PUR	AMR	male
HG01083	-0.00702609	0.0172734	0.0188168	-0.000206712	-0.00579403	0.0106888	-0.00286308	0.0431827	0.00750064	-0.0146557	HG01083	PUR	AMR	female
HG01085	-0.00570607	0.0178317	0.0151361	0.00410078	-0.00906696	0.0085828	-0.00329114	0.0320718	0.00769115	-0.0273805	HG01085	PUR	AMR	male
HG01086	-0.00546522	0.0149071	0.0174186	-0.00280913	-0.00551778	0.00683918	-0.00525951	0.0377483	0.00434502	-0.0266798	HG01086	PUR	AMR	female
HG01088	-0.00266669	0.0167114	0.0111043	-9.79179e-05	-0.00996216	-0.0121152	-0.0290457	-0.00520428	-0.00576501	-0.0147251	HG01088	PUR	AMR	male
HG01089	-0.00452723	0.0167394	0.0127281	-0.00220853	-0.00744149	-0.0144488	-0.0278596	-0.00134441	-0.00859575	-0.0131496	HG01089	PUR	AMR	female
HG01092	0.000310322	0.0142018	0.0112482	-0.00249609	-0.0105087	-0.0156132	-0.0279985	-0.00444348	-0.00613206	-0.00978133	HG01092	PUR	AMR	female
HG01094	-0.00517068	0.0174194	0.0160787	0.00372441	0.00237648	0.00451541	-0.000191906	0.0483827	0.0114145	0.0196304	HG01094	PUR	AMR	male
HG01095	-0.00626026	0.0184987	0.0159982	0.00279963	0.00242434	-0.00130241	-0.014871	0.0350433	0.00518692	0.0145913	HG01095	PUR	AMR	female
HG01097	-0.00690392	0.0183396	0.0165566	-0.000685675	-0.00133521	-0.00573408	-0.0269432	0.00842076	-0.00398356	0.00507216	HG01097	PUR	AMR	male
HG01098	-0.00668509	0.0183407	0.0160109	0.000499289	-0.000817046	-0.00496955	-0.0304883	0.0137266	-0.00110047	0.0109405	HG01098	PUR	AMR	female
HG01101	-0.00487532	0.0156377	0.0188827	-0.00171185	0.000954726	0.0072253	-0.00669207	0.054169	0.0115066	0.010472	HG01101	PUR	AMR	male
HG01102	-0.00361463	0.0164145	0.0165664	0.0022013	0.00403179	0.00633453	0.00194185	0.0500342	0.0126101	0.019356	HG01102	PUR	AMR	female
HG01104	-0.0072515	0.0182666	0.0155121	0.00552241	-0.010729	0.00828948	-0.00701425	0.035646	0.00478132	-0.0283144	HG01104	PUR	AMR	male
HG01105	-0.00767042	0.0207405	0.015162	0.00890571	-0.00870466	0.00811629	-0.00423939	0.0302441	0.00410171	-0.0274338	HG01105	PUR	AMR	female
HG01107	-0.00122306	0.0147175	0.0163336	0.00383293	-0.00426978	0.0139757	-0.00143797	0.0449555	0.00912357	-0.0186132	HG01107	PUR	AMR	male
HG01108	0.0184001	0.00379457	0.00911807	0.00113925	-0.00203483	0.0133243	0.0153121	0.0266723	0.00306114	-0.0103376	HG01108	PUR	AMR	female
HG01110	-0.00558228	0.0172087	0.0164729	0.00149338	0.00447102	0.00125971	-0.00220159	0.0407289	0.00844684	0.025993	HG01110	PUR	AMR	male
HG01111	-0.00608043	0.0175841	0.0180541	0.00182962	0.00320447	0.00148696	-0.00312836	0.0463261	0.0105653	0.0219885	HG01111	PUR	AMR	female
HG01112	-0.00971325	0.0238684	0.0141489	0.00895963	-0.000159629	-0.00770856	-0.0314404	0.0042298	-0.00703087	0.00390946	HG01112	CLM	AMR	male
HG01113	-0.011425	0.0151133	0.0226342	-0.0129518	0.0008189	-0.00333288	-0.0267677	0.00307764	-0.00293589	0.00443139	HG01113	CLM	AMR	female
HG01119	-0.0100299	0.0214038	0.0143006	0.0026643	-0.0162284	-0.00754895	-0.0168879	0.0128576	-0.00439902	-0.0533311	HG01119	CLM	AMR	female
HG01121	-0.00951529	0.0136528	0.0191508	-0.0181342	-0.0123523	-0.0138923	-0.0214272	-0.00362444	-0.00645265	-0.0179095	HG01121	CLM	AMR	male
HG01122	-0.00833274	0.0162187	0.0165033	-0.010844	-0.0130352	-0.0168032	-0.0238307	-0.00589992	-0.00697819	-0.0216348	HG01122	CLM	AMR	female
HG01124	-0.00517052	0.011125	0.0209016	-0.0159761	-0.00534521	0.000779793	-0.00565216	0.00560315	0.00426719	-0.0211286	HG01124	CLM	AMR	male
HG01125	-0.0074574	0.0133569	0.0198951	-0.0119024	-0.00643504	0.00251426	-0.0101059	0.0150946	0.0038895	-0.0244656	HG01125	CLM	AMR	female
HG01130	-0.00895295	0.0156413	0.018377	-0.0126912	-0.0168215	-0.00464551	-0.0107118	0.0105374	-0.00317239	-0.0543864	HG01130	CLM	AMR	male
HG01131	-0.00909457	0.0145151	0.0190392	-0.0123546	-0.017343	-0.00453545	-0.00977247	0.0128346	-0.00540141	-0.0557531	HG01131	CLM	AMR	female
HG01133	-0.010179	0.0200399	0.0181829	0.000605846	-0.00470853	-0.00123407	-0.0190403	0.0140153	0.00214808	-0.019999	HG01133	CLM	AMR	male
HG01134	-0.0062811	0.0143258	0.0185042	-0.00817922	-0.00595991	-0.00164812	-0.014314	0.00696285	0.00267501	-0.0162015	HG01134	CLM	AMR	female
HG01136	-0.00760319	0.0134786	0.021423	-0.0128701	-0.00852413	0.00263471	-0.0114786	0.0183358	0.0047124	-0.0318992	HG01136	CLM	AMR	male
HG01137	-0.0110066	0.0120066	0.0240081	-0.0220107	-0.00334015	0.000734137	-0.0125346	0.0118241	0.00267386	-0.0134989	HG01137	CLM	AMR	female
HG01139	-0.00386664	0.0101387	0.020428	-0.0181357	-0.00618759	-0.0035913	-0.0185931	-0.00143555	-0.00213676	-0.0143209	HG01139	CLM	AMR	male
HG01140	-0.00988772	0.0145248	0.0218511	-0.0135211	-0.00502291	-0.000420035	-0.0129563	0.0162705	0.00367634	-0.0226485	HG01140	CLM	AMR	female
HG01142	-0.00365897	0.00620241	0.0217848	-0.0269669	-0.0192479	-0.00343573	-0.00678259	0.00740812	-0.000483415	-0.0482157	HG01142	CLM	AMR	male
HG01148	-0.00933423	0.0150631	0.0213523	-0.0115475	-0.00201893	0.00123266	-0.0156171	0.00465823	-0.000699664	-0.0165916	HG01148	CLM	AMR	male
HG01149	-0.00809849	0.00604686	0.0261687	-0.0318755	-0.000447206	-0.000848686	-0.0113754	0.00320719	-0.000641948	-0.00961758	HG01149	CLM	AMR	female
HG01161	-0.00289612	0.0150717	0.0139963	-0.00510895	-0.00940963	-0.0146951	-0.0294842	-0.000155483	-0.00320847	-0.00824618	HG01161	PUR	AMR	male
HG01162	-0.00673826	0.017268	0.0145505	-0.00476583	-0.0089794	-0.0137474	-0.0298221	0.00319135	-0.00407873	-0.00707838	HG01162	PUR	AMR	female
HG01164	-0.00632716	0.0196433	0.0135515	0.000990855	-0.00934	-0.0157754	-0.0341053	0.000849388	-0.00602695	-0.00856652	HG01164	PUR	AMR	male
HG01167	-0.000933824	0.0142751	0.0158004	-0.000264179	0.00179849	-0.000618168	-0.010807	0.0280774	0.00879428	0.0353044	HG01167	PUR	AMR	male
HG01168	-0.00949323	0.0228287	0.0125968	0.0119108	0.00654627	0.00116855	-0.0127169	0.0468863	0.00662553	0.0255718	HG01168	PUR	AMR	female
HG01170	-0.00601593	0.016392	0.0175738	0.000263833	-0.00657089	0.0116895	-0.00107595	0.0365194	0.00857744	-0.0185208	HG01170	PUR	AMR	male
HG01171	-0.00284449	0.0149074	0.0164005	0.00119343	-0.00144525	0.0139478	0.00738742	0.043574	0.00751367	-0.0140138	HG01171	PUR	AMR	female
HG01173	-0.00785578	0.0219956	0.0149954	0.013591	-0.00695852	0.0116575	-0.00772942	0.0480153	0.012379	-0.0195619	HG01173	PUR	AMR	male
HG01174	-0.00833598	0.0195874	0.0165075	0.00612058	-0.00493972	0.0118585	-0.000578804	0.0452999	0.00807358	-0.0130239	HG01174	PUR	AMR	female
HG01176	-0.0068775	0.0181825	0.0174928	0.000349621	0.00214102	0.000603959	-0.0115961	0.0282476	0.00188448	0.0283514	HG01176	PUR	AMR	male
HG01177	-0.00807917	0.0169643	0.0189539	-0.0026634	0.00364593	0.00480641	-0.00572903	0.0514411	0.0137472	0.0247014	HG01177	PUR	AMR	female
HG01182	-0.00536251	0.0163564	0.017676	0.000210889	0.00309246	0.00427005	-3.99808e-05	0.0464588	0.00981845	0.025791	HG01182	PUR	AMR	male
HG01183	-0.00608159	0.0169539	0.0195769	-0.000533751	0.00403446	0.00568061	-0.000598667	0.0511703	0.0109264	0.0179738	HG01183	PUR	AMR	female
HG01187	-0.00349675	0.011597	0.0206785	-0.00963391	0.00497227	0.00684292	0.000936777	0.0484445	0.00888099	0.0260072	HG01187	PUR	AMR	male
HG01188	-0.00185721	0.0113109	0.0184183	-0.00821861	0.0045352	0.00363916	-0.00219886	0.0422285	0.011281	0.0221465	HG01188	PUR	AMR	female
HG01190	-0.00450519	0.0126783	0.0189745	-0.00739199	0.0032534	0.00555979	-0.000785578	0.0442391	0.00904863	0.0176611	HG01190	PUR	AMR	male
HG01191	-0.00734326	0.0164285	0.0188943	-0.00398811	0.00287309	0.00438748	-0.00278713	0.0451036	0.00940265	0.0214394	HG01191	PUR	AMR	female
HG01197	-0.00837352	0.018995	0.0183376	0.0033456	0.00222531	0.00556955	-0.00675762	0.0474257	0.00910951	0.0233348	HG01197	PUR	AMR	male
HG01198	-0.00272738	0.0150065	0.017466	0.000765601	0.00157862	0.000303443	-0.0049735	0.0425903	0.0116765	0.0278684	HG01198	PUR	AMR	female
HG01200	-0.0088415	0.0222646	0.0125571	0.00499102	-0.00677432	-0.0166062	-0.033629	0.00134893	-0.00909898	-0.0112462	HG01200	PUR	AMR	male
HG01204	-0.00667928	0.0176384	0.0167971	0.00260471	-0.000522046	0.00486072	-0.00552389	0.0483144	0.00665288	0.0100349	HG01204	PUR	AMR	male
HG01205	-0.0057235	0.0190432	0.0162114	0.00484036	0.00264183	-0.00259052	-0.0107521	0.037905	0.00445976	0.0286974	HG01205	PUR	AMR	female
HG01241	0.0199022	0.00283221	0.00893987	-0.000765264	0.0120699	0.0124198	0.00849667	0.0317481	0.00875215	0.0339343	HG01241	PUR	AMR	male
HG01242	0.012127	0.0087998	0.00945172	0.00437602	0.0120538	0.00964464	0.00498649	0.0355242	0.00658738	0.0325291	HG01242	PUR	AMR	female
HG01247	-0.0024979	0.013953	0.0176224	-0.00223908	0.00595282	0.00442954	0.000223212	0.045454	0.0114053	0.0242843	HG01247	PUR	AMR	male
HG01248	-0.00585568	0.018895	0.0144255	0.00458125	0.00223933	0.000602622	-0.0136051	0.0417801	0.00551445	0.0241337	HG01248	PUR	AMR	female
HG01250	-0.00862071	0.012503	0.0220326	-0.0183616	0.00352834	-0.00638004	-0.022304	0.000563379	-0.00390175	0.00739422	HG01250	CLM	AMR	male
HG01251	-0.0106239	0.0159076	0.0219655	-0.0120955	0.000711049	-0.0060063	-0.0242841	-0.000664818	-0.00346085	0.0106631	HG01251	CLM	AMR	female
HG01253	-0.00938	0.0168263	0.0193898	-0.00790588	0.00347596	-0.00725893	-0.0276873	0.000398152	-0.00284815	0.0065226	HG01253	CLM	AMR	male
HG01254	-0.00414597	0.00959664	0.0202597	-0.0178237	0.00105264	-0.00447802	-0.0184361	-0.0023131	-0.00221836	0.00821115	HG01254	CLM	AMR	female
HG01256	-0.010731	0.0197315	0.0196432	-0.000287697	0.00257372	-0.00177126	-0.0163167	0.0251324	0.00272096	0.0141503	HG01256	CLM	AMR	male
HG01257	-0.0109867	0.0150513	0.0232871	-0.0143622	0.000933349	-0.00204601	-0.00922392	0.0213837	0.00541613	0.0176601	HG01257	CLM	AMR	female
HG01259	-0.00973209	0.0207439	0.0176391	0.00418233	0.00177638	-0.00367288	-0.0170617	0.0283731	0.00199769	0.020064	HG01259	CLM	AMR	male
HG01260	-0.0062011	0.0106104	0.0222485	-0.0187935	0.00437164	-3.30885e-05	-0.00927349	0.0225667	0.00379119	0.019535	HG01260	CLM	AMR	female
HG01269	-0.00833154	0.0143681	0.0190329	-0.0137014	-0.0188237	-0.00626314	-0.0126164	0.0117931	-5.4985e-05	-0.0494429	HG01269	CLM	AMR	female
HG01271	-0.00825288	0.0148759	0.0201484	-0.0129898	-0.00217762	-0.00641029	-0.0290477	-0.0101869	-0.00689264	0.00526392	HG01271	CLM	AMR	male
HG01272	-0.00383318	0.0091543	0.0202876	-0.0201676	0.00269092	-0.00368541	-0.023237	-0.0103634	-0.0046662	0.00899569	HG01272	CLM	AMR	female
HG01275	-0.0100047	0.0250547	0.0134899	0.01216	0.00179991	-0.0107234	-0.0359427	-0.00745471	-0.00803825	0.00111573	HG01275	CLM	AMR	female
HG01277	-0.0113652	0.0126024	0.0233962	-0.022153	-0.001784	-0.00702886	-0.0293833	-0.00973145	-0.00347282	0.00431367	HG01277	CLM	AMR	male
HG01280	-0.0105771	0.0155109	0.0213672	-0.0135059	-0.0177837	-0.00476178	-0.0152453	0.0101543	0.000469031	-0.0507169	HG01280	CLM	AMR	male
HG01281	-0.0104578	0.0154654	0.0194065	-0.0117993	-0.0190459	-0.00472315	-0.0141762	0.010453	-0.0015102	-0.0541866	HG01281	CLM	AMR	female
HG01284	-0.00813986	0.0165308	0.0168686	-0.00926423	-0.0166334	-0.00680454	-0.018945	0.00782603	-2.3182e-05	-0.0447242	HG01284	CLM	AMR	female
HG01286	-0.000337701	0.014254	0.0126075	-0.00356158	-0.00860292	-0.0145367	-0.0258063	0.00121856	-0.00783408	-0.00880073	HG01286	PUR	AMR	male
HG01302	-0.00607833	0.0160055	0.0146948	-0.00685903	-0.0142557	-0.0184297	-0.031028	0.0031897	-0.00280328	-0.016901	HG01302	PUR	AMR	male
HG01303	-0.00599717	0.0154785	0.0140481	-0.00652802	-0.0123905	-0.0193003	-0.02809	0.000595741	-0.00585192	-0.0144422	HG01303	PUR	AMR	female
HG01305	-0.00446035	0.0153942	0.0155434	-0.0066789	-0.00755986	-0.0118957	-0.0274281	-0.00182858	-0.00565729	-0.00878095	HG01305	PUR	AMR	male
HG01308	-0.000674509	0.0142474	0.0135409	-0.00370999	-0.0101401	-0.0141622	-0.0285712	0.000131637	-0.00350984	-0.0102648	HG01308	PUR	AMR	male
HG01311	-0.00681653	0.0203724	0.0110757	0.00523911	-0.0131135	-0.0159394	-0.0295701	-0.00399388	-0.00792157	-0.0124197	HG01311	PUR	AMR	male
HG01312	-0.00484441	0.0175965	0.0132789	-0.000615498	-0.0110622	-0.017522	-0.0288197	-0.00381853	-0.0064715	-0.01677	HG01312	PUR	AMR	female
HG01323	-0.00593346	0.0175186	0.0138289	-0.00295959	-0.010959	-0.0160402	-0.0304338	-0.00204508	-0.0074498	-0.0187504	HG01323	PUR	AMR	female
HG01325	-0.00457849	0.019145	0.0116969	0.00314763	-0.0113044	-0.0202773	-0.0299338	-0.00209316	-0.00655478	-0.0122347	HG01325	PUR	AMR	male
HG01326	-0.006367	0.0168109	0.015775	-0.0055583	-0.0109286	-0.01745	-0.0278741	0.00339598	-0.00311396	-0.0163494	HG01326	PUR	AMR	female
HG01334	-0.0112732	0.0265948	0.0133169	0.018768	-0.00169076	0.00982309	0.0183931	0.0058738	0.00201525	-0.0112171	HG01334	GBR	EUR	male
HG01341	-0.0130727	0.00291112	0.034218	-0.046836	0.00360992	0.00757735	0.00894498	0.0259527	0.00729056	0.0157136	HG01341	CLM	AMR	male
HG01342	0.00421039	0.00699499	0.0177668	-0.0111458	0.00349135	0.00811047	0.00488694	0.0286632	0.00127073	0.0131846	HG01342	CLM	AMR	female
HG01344	-0.0110945	0.0102057	0.025824	-0.0298539	-0.00272567	-0.00549364	-0.021251	-0.0137595	-0.00551176	0.0072285	HG01344	CLM	AMR	male
HG01345	-0.00910874	0.0161581	0.0187686	-0.00902582	-0.00225904	-0.00925021	-0.0305946	-0.0108612	-0.0067258	0.00437838	HG01345	CLM	AMR	female
HG01348	-0.0101964	0.0103378	0.0246295	-0.0261032	-0.000204664	-0.00644788	-0.0244189	-0.00973159	-0.00705771	0.00701619	HG01348	CLM	AMR	female
HG01350	-0.00898626	0.00915048	0.0264143	-0.0244011	-0.00473097	0.0143209	0.0122046	0.0396793	0.00696519	-0.0185074	HG01350	CLM	AMR	male
HG01351	-0.0114743	0.0148755	0.0241841	-0.0117146	-0.0048552	0.0124489	0.00353429	0.0396425	0.00907413	-0.0210945	HG01351	CLM	AMR	female
HG01353	-0.0102913	0.0178534	0.0195644	-0.00165489	-0.00113125	0.0116659	0.00215296	0.0426472	0.0128506	-0.0133383	HG01353	CLM	AMR	male
HG01354	-0.0106639	0.0199497	0.0195286	0.00251194	-0.00465934	0.0139766	0.000621597	0.0446797	0.00767004	-0.0112309	HG01354	CLM	AMR	female
HG01356	-0.00918221	0.013397	0.0217251	-0.0186135	-0.00298696	-0.00342161	-0.0219496	-0.00432058	0.000893878	0.0031526	HG01356	CLM	AMR	male
HG01357	-0.0112152	0.0149193	0.0227862	-0.0132642	0.000158019	-0.00596717	-0.0250563	-0.00328943	-0.00227045	-0.00077004	HG01357	CLM	AMR	female
HG01359	-0.0100303	0.0150225	0.021012	-0.0102517	0.00187566	0.00203092	-0.00634256	0.0296883	0.00521889	0.00712077	HG01359	CLM	AMR	male
HG01360	-0.00873777	0.015384	0.0189664	-0.00978993	-0.00104206	-0.00622384	-0.0249234	-0.000666347	-0.0039528	0.005565	HG01360	CLM	AMR	female
HG01362	-0.00591389	0.013566	0.0161618	-0.0118866	-0.012085	-0.0178213	-0.0232985	-0.00245718	-0.00640436	-0.0193563	HG01362	CLM	AMR	male
HG01363	-0.00399114	0.0086889	0.0196038	-0.0213395	-0.0123344	-0.0115762	-0.0196556	-0.00791418	-0.00575755	-0.0156921	HG01363	CLM	AMR	female
HG01365	-0.00565069	0.0110616	0.0214884	-0.0128255	-0.00475311	0.0156456	0.0112965	0.0331606	0.00680721	-0.0179064	HG01365	CLM	AMR	male
HG01366	-0.00710868	0.0128298	0.0223725	-0.00924534	-0.00303938	0.0110555	0.00388314	0.0350425	0.00541148	-0.0135377	HG01366	CLM	AMR	female
HG01369	-0.00738027	0.00286321	0.0276712	-0.0431384	-0.0172496	-0.00406163	-0.00135637	0.00732538	0.00112241	-0.0503126	HG01369	CLM	AMR	female
HG01372	-0.00995854	0.0134758	0.0211085	-0.0191918	-0.0184075	-0.00672034	-0.0152635	0.00758131	-0.00345614	-0.0485883	HG01372	CLM	AMR	female
HG01374	-0.0112123	0.0160597	0.0234285	-0.00938008	-0.00393011	0.0101942	-0.000639378	0.0363705	0.0073542	-0.0197798	HG01374	CLM	AMR	male
HG01375	-0.00629791	0.00999815	0.0234515	-0.0158586	-0.00471339	0.0151671	0.00924734	0.0357049	0.00856135	-0.0129359	HG01375	CLM	AMR	female
HG01377	-0.00755184	0.0115757	0.0225334	-0.0166353	0.00232686	0.00125378	-0.00840961	0.0235241	0.00980492	0.0198857	HG01377	CLM	AMR	male
HG01378	-0.0103679	0.0100728	0.0267552	-0.0233264	0.00555167	0.00329292	-0.00634919	0.0249292	0.00666064	0.0220286	HG01378	CLM	AMR	female
HG01383	-0.0103174	0.0170178	0.0220306	-0.00935876	0.00294774	0.00131173	-0.0119602	0.0234638	0.00271703	0.0222672	HG01383	CLM	AMR	male
HG01384	-0.00892759	0.0158108	0.0203749	-0.00751064	0.00587424	-0.000385675	-0.0108295	0.0228621	0.00289565	0.0191475	HG01384	CLM	AMR	female
HG01389	-0.00872067	0.0193694	0.0176029	0.00376641	-0.00522177	0.0100655	-0.00079015	0.0399553	0.00903599	-0.0191871	HG01389	CLM	AMR	male
HG01390	0.000372289	0.00648321	0.0205727	-0.0165244	-0.000285849	0.0174942	0.0133587	0.0349028	0.00917341	-0.0143628	HG01390	CLM	AMR	female
HG01392	-0.00370449	0.0142383	0.0149798	-0.00677997	-0.0186672	-0.00418112	-0.00957836	0.0148468	0.00590002	-0.0518047	HG01392	PUR	AMR	male
HG01393	-0.00150016	0.014212	0.0128806	-0.00116391	-0.0168152	-0.00421516	-0.0106845	0.0174261	0.00107252	-0.0472863	HG01393	PUR	AMR	female
HG01395	-0.00754651	0.0193374	0.0144746	0.00120726	-0.0187037	-0.00509934	-0.0128762	0.0208933	0.00195731	-0.0520137	HG01395	PUR	AMR	male
HG01396	-0.00358724	0.0133599	0.0149429	-0.00869975	-0.0170557	-0.00601159	-0.0068613	0.0182855	0.00298084	-0.0487797	HG01396	PUR	AMR	female
HG01398	-0.00353326	0.0158499	0.0140708	-0.00542883	-0.00639715	-0.017307	-0.029864	-0.0045097	-0.00214257	-0.010644	HG01398	PUR	AMR	male
HG01402	-0.00390942	0.0144709	0.0142266	-0.0051174	-0.0175389	-0.00864662	-0.00940046	0.0197356	0.00304652	-0.0487215	HG01402	PUR	AMR	male
HG01403	-0.00350159	0.0144346	0.0144528	-0.0050041	-0.0153613	-0.0026754	-0.0116833	0.01884	-0.00253527	-0.0515595	HG01403	PUR	AMR	female
HG01405	-0.00611651	0.0191687	0.0114292	0.00220556	-0.0209345	-0.0147438	-0.0254755	0.00448438	-0.00121638	-0.0258917	HG01405	PUR	AMR	male
HG01412	-0.00712874	0.0159676	0.016608	-0.00967538	-0.0168882	-0.0155222	-0.0230571	0.0113287	-0.00345017	-0.0247356	HG01412	PUR	AMR	male
HG01413	-0.00484214	0.0146665	0.0154554	-0.00725451	-0.0202372	-0.00340009	-0.013762	0.0208037	0.00356758	-0.0505007	HG01413	PUR	AMR	male
HG01414	-0.00492802	0.0154837	0.0142898	-0.00319297	-0.0198727	-0.00405093	-0.00743661	0.0160332	0.00208716	-0.0505632	HG01414	PUR	AMR	female
HG01431	-0.00664355	0.0128763	0.0185216	-0.0170664	-0.0117603	-0.0189009	-0.0230206	-0.00295263	-0.00571476	-0.0186845	HG01431	CLM	AMR	male
HG01432	-0.0102231	0.0164514	0.0176644	-0.0113331	-0.0138017	-0.0169385	-0.0285199	-0.00326109	-0.00861788	-0.0163918	HG01432	CLM	AMR	female
HG01435	-0.0109707	0.0049194	0.0281505	-0.0413515	-0.0179129	0.000602276	-0.000872892	0.0052315	-0.000208714	-0.0490541	HG01435	CLM	AMR	female
HG01437	-0.0105289	0.0215271	0.0175296	0.00636772	0.00121443	0.00107001	-0.0133339	0.0325474	0.00455063	0.0117846	HG01437	CLM	AMR	male
HG01438	-0.0100584	0.024807	0.0142822	0.0136382	-0.000704622	0.00173041	-0.0109036	0.0322645	0.00605453	0.0114169	HG01438	CLM	AMR	female
HG01440	-0.00410497	0.0128847	0.019875	-0.010105	0.0027996	0.00619141	-0.000197551	0.0269783	0.00561189	0.0101611	HG01440	CLM	AMR	male
HG01441	-0.0115637	0.00977887	0.0266913	-0.0260485	0.00244742	0.00491396	-0.00158507	0.0262384	0.00764769	0.0171055	HG01441	CLM	AMR	female
HG01443	-0.0109621	0.00332057	0.0296499	-0.0487294	-0.0128842	-0.0125553	-0.0123338	-0.00818574	-0.00654933	-0.0145854	HG01443	CLM	AMR	male
HG01444	-0.00726681	0.0124334	0.0189579	-0.0172812	-0.0120801	-0.013997	-0.0209332	-0.00244346	-0.00716404	-0.0191413	HG01444	CLM	AMR	female
HG01447	-0.00846181	0.0143998	0.0176462	-0.0112174	-0.016761	-0.00372874	-0.00890111	0.0103639	-0.00245518	-0.0519761	HG01447	CLM	AMR	female
HG01455	-0.010797	0.0101146	0.027431	-0.0273177	-8.88502e-06	-0.006067	-0.0198072	-0.00184816	-0.00441308	0.00238644	HG01455	CLM	AMR	male
HG01456	-0.0099938	0.00968136	0.02526	-0.0264025	0.00191023	-0.00469172	-0.0180356	-0.00270003	-0.00229459	0.00396415	HG01456	CLM	AMR	female
HG01459	-0.0109914	0.0100959	0.0252233	-0.030227	-0.0179317	-0.00461485	-0.00292673	0.00650101	-0.000823816	-0.0519231	HG01459	CLM	AMR	female
HG01461	-0.00437444	0.00637161	0.0246575	-0.0264402	0.00422713	0.00697941	0.00231752	0.0308496	0.00839241	0.0124223	HG01461	CLM	AMR	male
HG01462	0.000964866	0.00493266	0.0213297	-0.0198811	0.00703551	0.00659525	0.0058741	0.0297177	0.00863316	0.0180551	HG01462	CLM	AMR	female
HG01464	-0.00310592	0.00803927	0.0224028	-0.0211927	-0.000877976	-0.00425155	-0.0106827	0.013661	0.00370485	0.0165374	HG01464	CLM	AMR	male
HG01465	-0.0105345	0.0189967	0.0196205	-0.00178371	0.000403601	0.000157979	-0.0153678	0.0347303	0.00406874	0.0107674	HG01465	CLM	AMR	female
HG01468	-0.0102325	0.0191412	0.0160376	-0.00419694	-0.011607	-0.0171333	-0.0358761	-0.00244068	-0.00613632	-0.0111892	HG01468	CLM	AMR	female
HG01474	-0.0103293	0.0208443	0.0157625	-0.00143002	-0.00788894	-0.0163401	-0.0345494	-0.00603759	-0.00673303	-0.0139393	HG01474	CLM	AMR	female
HG01479	-0.00961729	0.0212083	0.0148779	0.00125621	-0.00987561	-0.0149691	-0.037888	-0.0023618	-0.010408	-0.0126302	HG01479	CLM	AMR	male
HG01485	0.00455747	0.00520533	0.0150643	-0.0194555	-0.0137048	-0.0105667	-0.0131597	-0.00903221	-0.00453675	-0.0224966	HG01485	CLM	AMR	male
HG01486	-0.0103873	0.0118633	0.0218541	-0.0251187	-0.0149902	-0.0154902	-0.0220854	-0.00631471	-0.00816879	-0.0246105	HG01486	CLM	AMR	female
HG01488	-0.00451973	0.0166195	0.0157329	-2.23876e-05	0.00208219	0.00200404	-0.00764162	0.0293309	0.00756309	0.0178604	HG01488	CLM	AMR	male
HG01489	-0.0103582	0.0211319	0.0169188	0.0056534	0.00146213	0.00318074	-0.0101175	0.0358157	0.00354717	0.00312767	HG01489	CLM	AMR	female
HG01491	-0.0105452	0.0199985	0.0188762	0.00139041	0.000368598	0.00241445	-0.014789	0.0399477	0.00611194	0.0122174	HG01491	CLM	AMR	male
HG01492	-0.0101061	0.0177804	0.019908	-0.00510454	0.0017471	0.00201642	-0.0108584	0.0324771	0.00631684	0.0129703	HG01492	CLM	AMR	female
HG01494	-0.00821107	0.00750966	0.0257181	-0.0302481	0.00369879	-0.00371224	-0.0168694	-0.00336608	-0.00272057	0.00533848	HG01494	CLM	AMR	male
HG01495	-0.00667738	0.0075602	0.0249104	-0.026708	0.00222124	-0.00467571	-0.0185938	-0.00485788	-0.00266037	0.00824342	HG01495	CLM	AMR	female
HG01497	-0.0102361	0.011139	0.025708	-0.0247334	0.0019809	-0.00537504	-0.0237127	-0.00466068	-0.00362579	0.00845599	HG01497	CLM	AMR	male
HG01498	-0.00995722	0.0121375	0.0235328	-0.0218373	-0.000450185	-0.0033341	-0.0237758	-0.00433368	-0.00525865	0.00544375	HG01498	CLM	AMR	female
HG01500	-0.00934863	0.026194	0.0103348	0.018087	-0.00280785	-0.00658137	-0.0286273	0.000330838	-0.00238905	-0.0131552	HG01500	IBS	EUR	male
